process,model,case,seed,score,auroc,auprc,tpr_at_fpr5,n0_mean,case_mean
AR1,MLPQR_CAL,A0,1,S_max,0.013911111111111114,0.30839324856644845,0.0,1.903363598256692,0.884951342916974
AR1,MLPQR_CAL,A0,1,S_band,0.04273333333333331,0.46431791996278743,0.006666666666666667,0.21885416666666666,0.013645833333333333
AR1,MLPQR_CAL,A0,1,S_mean,0.3869666666666667,0.4231910992865185,0.023333333333333334,2.2772807124008096,1.6787167697671435
AR1,MLPQR_CAL,A0,1,S_gls_pert,0.391,0.42406516557605406,0.01,1.6609033572960157,1.0706323904278339
AR1,MLPQR_CAL,A0,1,S_gls_pool,0.3860444444444444,0.4192590701648604,0.013333333333333334,0.8818042466706898,0.6356721254452008
AR1,MLPQR_CAL,A0,1,S_gls_emp,0.3862555555555555,0.41797832749206876,0.013333333333333334,0.8594903070445404,0.6135768265928033
AR1,MLPQR_CAL,A0,1,S_chi2,0.8872777777777777,0.8302116021098261,0.4866666666666667,1.2956252713500298,2.932710821510018
AR1,MLPQR_CAL,A0,1,S_maha,0.023111111111111107,0.309026252696931,0.0033333333333333335,35.820401553946034,5.284240410788654
AR1,MLPQR_CAL,A1,1,S_max,0.09505,0.32033824230445906,0.0,1.903363598256692,1.231053426764475
AR1,MLPQR_CAL,A1,1,S_band,0.21868888888888888,0.4508431983203566,0.06,0.21885416666666666,0.10364583333333334
AR1,MLPQR_CAL,A1,1,S_mean,0.7222777777777778,0.7230229539647963,0.23333333333333334,2.2772807124008096,3.7807471073985677
AR1,MLPQR_CAL,A1,1,S_gls_pert,0.6670111111111111,0.6442378565117862,0.10333333333333333,1.6609033572960157,2.7610583346858495
AR1,MLPQR_CAL,A1,1,S_gls_pool,0.7426888888888888,0.7375231511589799,0.24333333333333335,0.8818042466706898,1.5328076509027058
AR1,MLPQR_CAL,A1,1,S_gls_emp,0.7435666666666667,0.7364490929623851,0.26666666666666666,0.8594903070445404,1.5001418740638652
AR1,MLPQR_CAL,A1,1,S_chi2,0.7009888888888888,0.6981619030361201,0.23333333333333334,1.2956252713500298,2.132600266091836
AR1,MLPQR_CAL,A1,1,S_maha,0.12999999999999998,0.37258528730382834,0.06333333333333334,35.820401553946034,18.768601661102192
AR1,MLPQR_CAL,A2,1,S_max,0.4971055555555555,0.4913650966626645,0.0033333333333333335,1.903363598256692,1.9139155534042758
AR1,MLPQR_CAL,A2,1,S_band,0.5767388888888889,0.5883461091731021,0.1,0.21885416666666666,0.2653125
AR1,MLPQR_CAL,A2,1,S_mean,0.5937222222222223,0.6261929044708721,0.19,2.2772807124008096,3.010524961983069
AR1,MLPQR_CAL,A2,1,S_gls_pert,0.5685333333333333,0.5747240173143546,0.05333333333333334,1.6609033572960157,2.2487017186690554
AR1,MLPQR_CAL,A2,1,S_gls_pool,0.614,0.6396631886311117,0.18666666666666668,0.8818042466706898,1.2249418309523543
AR1,MLPQR_CAL,A2,1,S_gls_emp,0.6178666666666667,0.6404914676160649,0.19,0.8594903070445404,1.2007377778070647
AR1,MLPQR_CAL,A2,1,S_chi2,0.5747666666666666,0.5941547347051725,0.11666666666666667,1.2956252713500298,1.6595070503368183
AR1,MLPQR_CAL,A2,1,S_maha,0.5175666666666667,0.5308787021623049,0.056666666666666664,35.820401553946034,41.0602854452469
AR1,MLPQR_CAL,A3,1,S_max,0.57345,0.5406208466614022,0.03333333333333333,1.903363598256692,1.9945455975424364
AR1,MLPQR_CAL,A3,1,S_band,0.5487277777777778,0.5288847632762891,0.056666666666666664,0.21885416666666666,0.239375
AR1,MLPQR_CAL,A3,1,S_mean,0.48605,0.49317327494236596,0.043333333333333335,2.2772807124008096,2.204346234164473
AR1,MLPQR_CAL,A3,1,S_gls_pert,0.4970055555555556,0.4999430774464341,0.03666666666666667,1.6609033572960157,1.619094686290662
AR1,MLPQR_CAL,A3,1,S_gls_pool,0.4911611111111111,0.4961988291148892,0.043333333333333335,0.8818042466706898,0.8628588076472024
AR1,MLPQR_CAL,A3,1,S_gls_emp,0.4921833333333333,0.49734583427585743,0.056666666666666664,0.8594903070445404,0.8432285097963482
AR1,MLPQR_CAL,A3,1,S_chi2,0.47891666666666666,0.492102936041377,0.056666666666666664,1.2956252713500298,1.2456350313058129
AR1,MLPQR_CAL,A3,1,S_maha,0.6377499999999999,0.6037626175383681,0.08666666666666667,35.820401553946034,43.75266813706543
AR1,MLPQR_CAL,A4,1,S_max,0.7641277777777777,0.7063850655368731,0.08333333333333333,1.903363598256692,2.096124826870602
AR1,MLPQR_CAL,A4,1,S_band,0.8363444444444446,0.8024093291656753,0.29,0.21885416666666666,0.4114583333333333
AR1,MLPQR_CAL,A4,1,S_mean,0.5180666666666667,0.5357631679855892,0.06,2.2772807124008096,2.4444525582269443
AR1,MLPQR_CAL,A4,1,S_gls_pert,0.5321888888888888,0.5295445006505364,0.043333333333333335,1.6609033572960157,1.8316625701708165
AR1,MLPQR_CAL,A4,1,S_gls_pool,0.5287555555555555,0.5514568752198379,0.08333333333333333,0.8818042466706898,0.9826128971603686
AR1,MLPQR_CAL,A4,1,S_gls_emp,0.5336000000000001,0.5541426130989267,0.08666666666666667,0.8594903070445404,0.9698999805900242
AR1,MLPQR_CAL,A4,1,S_chi2,0.7471666666666668,0.7799732577977395,0.37666666666666665,1.2956252713500298,2.6951854012244345
AR1,MLPQR_CAL,A4,1,S_maha,0.8318666666666666,0.7861115267169523,0.22333333333333333,35.820401553946034,62.13218708167129
AR1,MLPQR_CAL,A0,2,S_max,0.008777777777777773,0.30806829055834173,0.0,1.9231247759560002,0.8661319898244915
AR1,MLPQR_CAL,A0,2,S_band,0.02324999999999999,0.4711480885410027,0.0,0.22395833333333334,0.008125
AR1,MLPQR_CAL,A0,2,S_mean,0.3898,0.41535194312481627,0.006666666666666667,2.189962465630277,1.576962012936267
AR1,MLPQR_CAL,A0,2,S_gls_pert,0.3850444444444444,0.42286864454338186,0.023333333333333334,1.3837217899887628,0.9096454190010085
AR1,MLPQR_CAL,A0,2,S_gls_pool,0.38654444444444447,0.4125839929660566,0.0033333333333333335,0.7876669531733359,0.5561969059906219
AR1,MLPQR_CAL,A0,2,S_gls_emp,0.36842222222222226,0.4054936377885197,0.0033333333333333335,0.8011026368598617,0.5519793911743783
AR1,MLPQR_CAL,A0,2,S_chi2,0.8971444444444446,0.8292411754558013,0.43333333333333335,1.2446571386622005,2.959221799047991
AR1,MLPQR_CAL,A0,2,S_maha,0.015822222222222217,0.3084707310411216,0.0033333333333333335,36.91851909666763,4.634937513557775
AR1,MLPQR_CAL,A1,2,S_max,0.0927111111111111,0.3201177768453429,0.01,1.9231247759560002,1.2801542691834806
AR1,MLPQR_CAL,A1,2,S_band,0.24025,0.45852935544005324,0.06,0.22395833333333334,0.116875
AR1,MLPQR_CAL,A1,2,S_mean,0.7564333333333333,0.7621688795357469,0.27,2.189962465630277,3.9479200569097688
AR1,MLPQR_CAL,A1,2,S_gls_pert,0.7085444444444444,0.6868386985605559,0.15333333333333332,1.3837217899887628,2.6015669315540184
AR1,MLPQR_CAL,A1,2,S_gls_pool,0.7897111111111111,0.7890267473003436,0.33,0.7876669531733359,1.5296704701117165
