process,model,seed,horizon,z_mean,z_var,psi,psi_theory,n_eff_pert,n_eff_pert_med,n_eff_pool,n_eff_ema,n_eff_hybrid,n_eff_b,n_eff_emp,R_frobenius
SEAS,ORACLE,0,12,-0.022507627364123296,0.9652024256183448,0.013841287201000085,0.01384128720099999,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,13,-0.06000717772784767,0.8721871281542224,0.009688901040699876,0.009688901040699992,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,14,-0.0033553373441784357,0.8368996353040741,0.006782230728489977,0.006782230728489994,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,15,-0.0008343450164108587,0.8304554057825428,0.00474756150994298,0.004747561509942996,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,16,-0.02741882531402998,0.8836649236931174,0.0033232930569600735,0.0033232930569600965,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,17,-0.05724125161778242,0.9585435398041123,0.0023263051398721467,0.0023263051398720674,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,18,-0.052788420364105096,0.9303231923778769,0.001628413597910366,0.001628413597910447,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,19,-0.0061440658920339725,0.9129100749632619,0.0011398895185373466,0.001139889518537313,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,20,0.09568902279889713,0.831013311778584,0.0007979226629759767,0.0007979226629761189,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,21,0.1008043880928167,0.8531767754701365,0.0005585458640832552,0.0005585458640832833,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,22,0.07102686119607915,0.8213299052430028,0.00039098210485837714,0.00039098210485829826,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,23,0.007085978788816079,0.6971247096949064,0.0002736874734007541,0.0002736874734008088,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,24,-0.04230215854831777,0.8484890359984297,0.00019158123138074767,0.00019158123138056612,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,25,-0.12570045779449354,0.9032153190256148,0.00013410686196642857,0.00013410686196639628,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,26,-0.09445128753726273,0.7783007165741173,9.387480337647937e-05,9.387480337647739e-05,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
SEAS,ORACLE,0,27,-0.049808702415718074,0.8188517096286819,6.571236236353487e-05,6.571236236353417e-05,6.887301804084823,6.887301804084823,6.887301804084823,6.887301804084824,7.147174013860827,3.922061297970645,7.567315375064432,1.4489187796857779
